game_id,title,genre,author,text,link,status,rating,rating_count,tags,ave_session_time,platforms
14253,Space Captain McCallery Ep. 1: Crash Landing,Action,Tales of the Renegade Sector,Your crew mutinied and now you're stranded on an alien world. Low-Poly Action-Adventure game.,https://malec2b.itch.io/space-captain-mccallery-ep-1-crash-landing,Released,4.7,14.0,"3D, Action-Adventure, Aliens, Colorful, Exploration, Low-poly, psychedelic, Sci-fi",,"Windows, macOS"
14591,Mysterious Island Remastered,Adventure,Calaris Studios,,https://calaris.itch.io/mysterious-island,Released,4.3,15.0,"Action-Adventure, Action RPG, Boss battle, Character Customization, Fantasy, Magic, Mystery, Point & Click, Remake, Story Rich",A few hours,Windows
15559,Sales Pitch,Adventure,SUKEBAN GAMES,Spaghetti in your pocket simulator,https://sukebangames.itch.io/sales-pitch,Prototype,4.1,78.0,"Female Protagonist, Ludum Dare 31, Point & Click",,Windows
16106,Lost Constellation,Adventure,Finji,A ghost story from the world of Night In The Woods.,https://finji.itch.io/lost-constellation,Released,4.8,832.0,"death, Exploration, life, night-in-the-woods, Point & Click, snowman, talking-animals, winter",,"Windows, macOS, Linux"
16476,Ossuary,Adventure,Future Proof Games,Fall into the place of bones.,https://futureproofgames.itch.io/ossuary,Released,4.5,31.0,"Dark, Dark Humor, death, discordianism, Horror, humor, philosophy, Pixel Art, puzzles, satire",,Windows
16569,Drift Stage [2014 Alpha Demo],Racing,Super Systems,,https://supersystems.itch.io/driftstagealpha,Prototype,4.5,115.0,"Arcade, Driving, Retro, Time Attack",About a half-hour,"Windows, macOS, Linux"
17580,Proteus,,Twisted Tree,A musical island exploration by Ed Key and David Kanaga,https://twistedtree.itch.io/proteus,Released,4.6,85.0,"3D, Atmospheric, Colorful, Experimental, Exploration, First-Person, Music, Procedural Generation, Relaxing, Walking simulator",About an hour,"Windows, macOS"
17999,Sokobond,Puzzle,Draknek & Friends,Logical. Minimalist. Beautiful.,https://draknek.itch.io/sokobond,Released,4.5,94.0,,About a half-hour,"Windows, macOS"
20078,DEAD KNIGHT,Action,Backterria,"💀 Buy Now, Die Tomorrow 💀",https://backterria.itch.io/dead-knight,In development,4.4,57.0,"2D, Action-Adventure, Dark Humor, Funny, Metroidvania, Pixel Art, Roguelike",A few minutes,Windows
20218,Little Party,Adventure,Turnfollow,Your daughter is having a party.,https://turnfollow.itch.io/littleparty,Released,4.4,255.0,"artgame, Experimental, Exploration, Female Protagonist, Music, Narrative, Non violent, Short, Singleplayer, story",About a half-hour,"Windows, macOS, Linux"
20787,Ananias Roguelike,Role Playing,Slashie,A modern classic dungeon crawling adventure,https://slash.itch.io/ananias,Released,4.4,49.0,"8-Bit, Dungeon Crawler, Hack and Slash, Perma Death, Procedural Generation, Roguelike",About a half-hour,"Windows, macOS, Linux"
20790,The Writer Will Do Something,,Matthew Seiji Burns,You are the head writer for the third game in the wildly popular ShatterGate™ franchise.,https://matthewseiji.itch.io/twwds,Released,4.6,415.0,"Story Rich, Text based, Twine",,HTML5
20790,The Writer Will Do Something,,Matthew Seiji Burns,You are the head writer for the third game in the wildly popular ShatterGate™ franchise.,https://matthewseiji.itch.io/twwds,Released,4.6,415.0,"Story Rich, Text based, Twine",,HTML5
20790,The Writer Will Do Something,,Matthew Seiji Burns,You are the head writer for the third game in the wildly popular ShatterGate™ franchise.,https://matthewseiji.itch.io/twwds,Released,4.6,415.0,"Story Rich, Text based, Twine",,HTML5
20790,The Writer Will Do Something,,Matthew Seiji Burns,You are the head writer for the third game in the wildly popular ShatterGate™ franchise.,https://matthewseiji.itch.io/twwds,Released,4.6,415.0,"Story Rich, Text based, Twine",,HTML5
21155,A Date in the Park,Adventure,Cloak and Dagger Games,"Romance, confusion and suspense in a strange Portuguese park",https://shaun9991.itch.io/a-date-in-the-park,Released,4.4,55.0,"artgame, Atmospheric, Dating Sim, Experimental, Exploration, Horror, Mystery, Point & Click, Romance, Surreal",,Windows
21241,Project Arrhythmia,Action,Vitamin Games,A rhythmic adventure in which all things beautiful are deadly.,https://vitamingames.itch.io/project-arrhythmia,In development,4.6,9.0,"Arcade, Bullet Hell, demo, Fast-Paced, Level Editor, Minimalist, Music, Unity",About a half-hour,
21281,Queen at Arms,Visual Novel,Aqualuft Games,A Fantasy Wartime Adventure,https://aqualuftgames.itch.io/queen-at-arms,Released,4.3,55.0,"Fantasy, Magic, Point & Click, Romance, War",A few hours,"Windows, macOS, Linux"
21706,Three Guys That Paint,Visual Novel,Katy133,A visual novel game,https://katy133.itch.io/three-guys-that-paint,Released,4.4,31.0,"2D, Comedy, Cute, Multiple Endings, Mystery, Ren'Py, Romance, secrets, Story Rich",,"Windows, macOS, Linux"
21746,Memory of a Broken Dimension,Adventure,xra,ATMOSPHERIC TRESPASSING,https://xra.itch.io/memory-of-a-broken-dimension,In development,4.5,151.0,"Atmospheric, Cyberpunk, Dark, Experimental, Exploration, First-Person, glitch, mind-bending, Noir, weird",About a half-hour,"Windows, macOS, Linux"
22564,tiny tarot,Card Game,Chelsea Stearns,"78 cards. 300 words. focus, breathe, and draw.",https://cstearns.itch.io/tiny-tarot,Released,4.7,56.0,"Pixel Art, Tarot, Twine",A few seconds,HTML5
22755,TowerFall Ascension,Platformer,Maddy Makes Games,Local Multiplayer Archery Chaos!,https://maddymakesgamesinc.itch.io/towerfall,Released,4.7,97.0,"Archery, competitive, Co-op, Local Co-Op, Local multiplayer, Multiplayer, Pixel Art, Versus, xna",A few minutes,"Windows, macOS, Linux"
22762,SUPERHOTline Miami Deluxe,Action,Albatr,What happens when you mix SUPER HOT with Hotline Miami ? You get SUPERHOTline Miami !,https://albatr.itch.io/superhotline-miami,Released,4.6,563.0,"bullet-time, hotline-miami, html5, mashup, superhot, Top-Down, Top down shooter",,"HTML5, Windows, macOS, Linux"
22840,Who Is Mike?,Visual Novel,FERVENT,Mike and his doppelganger are having a bad night.,https://fervent.itch.io/whoismike,Released,4.5,151.0,"Anime, Dark, Horror, Multiple Endings, Mystery, Ren'Py, suspense",,"Windows, macOS, Linux"
23122,Get 'Em DX,Action,RGCD.DEV,"Play solo or with a friend, power-up and GET 'EM!",https://rgcddev.itch.io/get-em-dx,Released,5.0,14.0,"Arcade, Commodore 64, forget-me-not, Local multiplayer, Multiplayer, Retro, rgcd",A few minutes,"Windows, macOS, Linux"
23224,GARDEN,Action,Daniel Linssen,they came across a ghost with a dream like their own,https://managore.itch.io/garden,Released,4.2,60.0,,About an hour,Windows
23424,Aviator Arcade II,Shooter,RGCD.DEV,Military-Grade Vertical SHMUP Action for your Commodore 64.,https://rgcddev.itch.io/aviator-arcade-ii,Released,4.6,21.0,"Commodore 64, Retro, rgcd, Shoot 'Em Up, vertical",,"Windows, macOS, Linux"
23890,A Good Gardener,Simulation,Turnfollow,A Wartime Garden Simulator,https://turnfollow.itch.io/a-good-gardener,Released,4.6,118.0,"ambient, Gardening, Ludum Dare 32, Sci-fi, Story Rich, War",A few hours,"Windows, macOS"
24074,Olav & the Lute,Adventure,Shelly Alon,Olav & the Lute is a mystical adventure game.,https://shellyalon.itch.io/oatl,Released,4.0,56.0,"apocalyptic, loom, lute, Magic, olav, Pixel Art",,Windows
24484,RockRobin,Visual Novel,Happy Backwards,"Band Management Sim, with romance!",https://happybackwards.itch.io/rockrobin,In development,4.7,464.0,"Dating Sim, Female Protagonist, First-Person, Management, Moddable, Multiple Endings, Ren'Py, Romance, Story Rich",A few hours,"Windows, macOS, Linux"
24492,Seduce Me the Otome,Visual Novel,Michaela Laws,"A romantic comedy visual novel centered around a girl named Mika Anderson, who gets entangled in the affairs of incubi.",https://vamichaelalaws.itch.io/seduce-me-the-otome,Released,4.5,529.0,"Dating Sim, incubus, michaela-laws, Otome, seduce-me, seraphime-entertainment, vn",,"Windows, macOS, Linux"
24775,The Rock the Paper and the Scissors,Rhythm,Zi,Western rhythm game with a humorous twist.,https://majormcdoom.itch.io/the-rock-the-paper-and-the-scissors,Prototype,4.6,99.0,"Arcade, Music, Western",,"Windows, macOS, Linux"
24907,Metamorphabet (2015),,Vectorpark,"A playful, interactive alphabet.",https://vectorpark.itch.io/metamorphabet,Released,4.6,146.0,,About an hour,"Windows, macOS"
25491,FPV Freerider,Simulation,FPV Freerider,RC Quadcopter Racing Simulator,https://fpv-freerider.itch.io/fpv-freerider,Released,4.6,282.0,"drone, fpv, miniquad, multirotor, quadcopter, quadrocopter, rc, simulator",A few minutes,"Windows, macOS, Linux"
26035,My Garbage Cat Wakes Me Up At 3AM Every Day,Platformer,Will Herring,You are my garbage cat. Knock everything over with your dumb paws and meow all the time.,https://grey2scale.itch.io/garbage-cat,Released,4.4,241.0,,,HTML5
26289,Fish Fly,Shooter,Froach Club,Frolic nude in the fountain of your youth,https://froachclub.itch.io/fish-fly,Released,4.6,19.0,"cute-em-up, fish, Multiplayer",A few minutes,"Windows, macOS"
27168,Regular Human Basketball,Sports,Powerhoof,No giant mechanical death machines here!,https://powerhoof.itch.io/regular-human-basketball,Released,4.8,136.0,"Funny, Local Co-Op, Local multiplayer, Multiplayer, party-game",A few minutes,"Windows, macOS, Linux"
27532,Sanctuary,,Connor Sherlock,The living basalt and the worked,https://connor-sherlock.itch.io/sanctuary,Released,4.2,57.0,"Abstract, Altgame, artgame, Experimental, Exploration, First-Person, Horror, mind-bending, Surreal, Walking simulator",About a half-hour,"Windows, macOS, Linux"
27564,VA-11 HALL-A PROTOTYPE,Visual Novel,SUKEBAN GAMES,Original Cyberpunk Jam Build,https://sukebangames.itch.io/va11proto,Prototype,4.8,72.0,Cyberpunk,,
27841,Heroine Dusk,Role Playing,clintbellanger,Classic dungeon crawl streamlined. Fight back against the Darkness.,https://clintbellanger.itch.io/heroine-dusk,Prototype,4.4,36.0,"Dungeon Crawler, Fantasy, First-Person, Pixel Art, Turn-based",,HTML5
28072,The Path,Adventure,Tale of Tales,"There is one rule in the game. And it needs to be broken. There is one goal. And when you attain it, you die.",https://taleoftales.itch.io/the-path,Released,4.6,41.0,"Dark Fantasy, Fairy Tale, girls, grandmother, Horror, mythology, Perma Death, red, soundtrack, wolves",,"Windows, macOS"
29736,WolfQuest,Simulation,eduweb,Live the life of a wild wolf!,https://eduweb.itch.io/wolfquest,Released,4.7,433.0,"Animals, ecology, hunting, Mountains, nature, pups, wildlife, wolf, yellowstone",A few hours,"Windows, macOS"
30023,Half-Line Miami,Action,thomaskole,A Free Mashup between Hotline Miami and Half Life 2,https://thomaskole.itch.io/hlm,Released,4.6,73.0,"half-life-2, hotline-miami, mashup",A few minutes,Windows
30237,Seduce Me the Otome - Episode Series,Visual Novel,Michaela Laws,Seduce Me Short Episodes!,https://vamichaelalaws.itch.io/seduce-me-the-otome-episode-series,Released,4.8,249.0,,,"Windows, macOS, Linux"
31162,Hylics,Role Playing,Mason Lindroth,Approach our homunculus.,https://mason-lindroth.itch.io/hylics,Released,4.8,339.0,"2D, Exploration, JRPG, Pixel Art, RPG Maker, Turn-Based Combat, weird",About a half-hour,Windows
31280,Sagittarius,Action,George Prosser,Competitive cosmic archery!,https://gprosser.itch.io/sagittarius,Released,4.6,101.0,"Arcade, Archery, competitive, deathmatch, Gravity, Local multiplayer, Multiplayer, Retro, Turn-based, Versus",A few minutes,"Windows, macOS, Linux"
31308,HyperRogue,Puzzle,Zeno Rogue,A puzzle roguelike in hyperbolic plane,https://zenorogue.itch.io/hyperrogue,Released,4.7,96.0,"Endless, Experimental, Exploration, Math, non-eucledian, Procedural Generation, Roguelike, stepping-game, traditional-roguelike",About a half-hour,"Windows, macOS, Android"
31318,CELESTE Classic,Platformer,Maddy Makes Games,Climb a mountain,https://maddymakesgamesinc.itch.io/celesteclassic,Released,4.7,864.0,"2D, gdq, hardcore, PICO-8, Speedrun",,HTML5
32062,PuniTy - PT hallway recreation,,jedlondo,The PT hallway recreated in the Unity game engine,https://jedlondo.itch.io/punity,Released,4.4,64.0,"3D, Horror, Short",,"Windows, macOS, Linux"
32235,Neofeud,Visual Novel,silverspook,Cyberpunk Adventure / Visual Novel,https://silverspook.itch.io/neofeud,Released,4.6,45.0,"2D, Cyberpunk, Dystopian, Hand-drawn, Noir, Point & Click, Sci-fi, Story Rich, Walking simulator",About an hour,"Windows, macOS, Linux"
32706,Salad Fingers Where's May Gone Act 1,Adventure,geggames,Salad Fingers Point & Click Adventure,https://geggames.itch.io/salad-fingers-wheres-may-gone-act-1,In development,4.2,16.0,"2D, adventure-game, Creepy, free, Point & Click, rusty, salad-fingers, saladfingers, scary, weird",About a half-hour,"Unity Web Player (Legacy), Windows, macOS, Linux"
33260,Cat Poke,Puzzle,Squiddershins,,https://squiddershins.itch.io/cat-poke,Released,4.4,43.0,"Cats, Cute, fusion, Pixel Art, Puzzle-Platformer, squiddershins",,Windows
34788,"Dude, Stop",Puzzle,Team HalfBeard,"Dude, Stop is a puzzle game, where the main goal is to make everyone hate you.",https://team-halfbeard.itch.io/dude-stop,In development,4.3,113.0,"dude-stop, Ludum Dare, Ludum Dare 33, Pixel Art",A few minutes,Windows
34954,XYDONIA / ザイドニア,Shooter,Breaking Bytes,Action-packed Japanese-inspired retro SHMUP,https://breakingbytes.itch.io/xydonia,In development,4.6,50.0,"16-bit, 2D, Arcade, Local Co-Op, Pixel Art, Retro, Shoot 'Em Up, Side Scroller",A few minutes,Windows
35436,Backstage Pass,Visual Novel,sakevisual,"Lights, camera, romance!",https://sakevisual.itch.io/backstage-pass,Released,4.4,83.0,"2D, Anime, Dating Sim, Female Protagonist, Multiple Endings, Otome, otome-game, Romance, Voice Acting",A few hours,
35729,Electric Highways,Adventure,Zykoveddy,Retro-futurism inspired surreal 3D adventure,https://zykoveddy.itch.io/electric-highways,Released,4.6,99.0,"3D, Abstract, artgame, Atmospheric, Experimental, Exploration, First-Person, Horror, Pixel Art, Singleplayer",A few minutes,Windows
37082,Super Crate Box Together,Action,YellowAfterlife,An online multiplayer mod for Super Crate Box,https://yellowafterlife.itch.io/super-crate-box-together,Released,4.6,34.0,"2D, Co-op, GameMaker, Local Co-Op, Local multiplayer, Multiplayer, online-co-op, online-multiplayer, Pixel Art, Versus",A few minutes,"Windows, Linux"
37095,Yume Nikki 3D,Adventure,Zykoveddy,A surreal exploration game based on Yume Nikki universe,https://zykoveddy.itch.io/yume-nikki-3d,Released,4.6,104.0,"3D, Abstract, Atmospheric, Experimental, Exploration, Horror, Open World, Pixel Art, Singleplayer, Surreal",About a half-hour,Windows
40403,Blocky Cars Online,Shooter,Infinite Games Studio,Blocky Cars Online is a unique 3D multiplayer shooter with a creative physical puzzle.,https://denkroul.itch.io/blocky-cars-online,Released,4.8,5.0,"3D, FPS, Minecraft, Multiplayer, Physics, Pixel Art, Puzzle-Platformer, PvP",About a half-hour,Android
40415,orchids to dusk,,Pol Clarissou,contemplative multiplayer game about death and acceptance,https://polclarissou.itch.io/orchids-to-dusk,Released,4.4,336.0,"3D, Atmospheric, contemplative, Experimental, Space",,"Windows, macOS, Linux"
40576,Investigator and the Case of the Unconventional Weapon,Adventure,theskyandthesea,Investigator is a point and click whodunnit about an alligator who investigates cases.,https://theskyandthesea.itch.io/investigator-the-unconventional-weapon,Released,4.7,376.0,"2D, Crime, Detective, Ludum Dare 32, Mystery, Point & Click, Touch-Friendly",A few minutes,HTML5
41241,Wheels of Aurelia,,Santa Ragione,A narrative racing game set in the roaring Italian 70s,https://santaragione.itch.io/wheelsofaurelia,Released,3.7,172.0,"3D, Colorful, Driving, Female Protagonist, Isometric, italy, Narrative, road-trip",About a half-hour,"Windows, macOS, Linux"
41815,Haque,Role Playing,Super∴Try,A glitchcore roguelike with something to hide. Fight cute monsters! Avoid death! Save the Game,https://supertry.itch.io/haque,Released,4.5,144.0,"Cult Classic, Fantasy, GameMaker, glitch, Pixel Art, Roguelike",A few hours,"Windows, macOS, Linux"
42712,Melon Journey,Role Playing,Froach Club,Need we say more?,https://froachclub.itch.io/melon-journey,Released,4.7,108.0,"Cult Classic, Cute, delicious, Funny, melon",,"Windows, macOS"
43197,Sepia Tears,Visual Novel,Scarlet String Studios,A romance visual novel about memories best left forgotten.,https://scarletstring.itch.io/sepia-tears,Released,4.6,28.0,"Anime, Casual, Comedy, Cute, Hand-drawn, Ren'Py, Romance, Slice Of Life, Story Rich, Text based",About a half-hour,
45666,Rusty Lake Hotel,Adventure,Rusty Lake,A unique point-and-click adventure,https://rustylake.itch.io/rustylakehotel,Released,4.7,209.0,"Point & Click, room-escape",About an hour,"Windows, macOS"
45920,Birdsketball,Sports,Waynetron,Local multiplayer basketball with birds,https://waynetron.itch.io/birdsketball,In development,4.7,82.0,"2D, 90s, Arcade, Co-op, Local multiplayer, Minimalist, Multiplayer, party, Retro",A few minutes,"Windows, macOS, Linux"
46181,Tell a Demon,Visual Novel,Sun Labyrinth,"Three intertwining stories of love, loss, and vengeance set in the 1920s style city of Asher.",https://sunlabyrinth.itch.io/tellademon,Released,4.6,15.0,"1920s, Dark Fantasy, Female Protagonist, Male protagonist, Meaningful Choices, Otome, painterly, Romance, Vampire",About an hour,"Windows, macOS, Linux"
46276,Endless ATC,Simulation,startgrid,Air Traffic Control simulator game,https://startgrid.itch.io/endlessatc,Released,4.6,17.0,"2D, Casual, Management, Minimalist, Moddable, Procedural Generation, Relaxing, Score Attack, Singleplayer",About an hour,Windows
46292,Break Chance Memento,Visual Novel,Cyanide Tea,a VN about family bonds across time,https://cyanidetea.itch.io/bcm,Released,4.6,34.0,"bl, LGBT, Time Travel",,"Windows, macOS, Linux"
46387,Bit Pit,Platformer,voishark,You have been sentenced to death by Bit Pit. How long can you survive?,https://voishark.itch.io/bitpit,Prototype,4.3,48.0,"2D, Arcade, Co-op, Fast-Paced, gamepad, Local multiplayer, Pixel Art, Short, Singleplayer",A few seconds,"Windows, macOS, Linux"
46546,The Endless Forest (donationware edition),Role Playing,Tale of Tales,,https://taleoftales.itch.io/the-endless-forest,Released,4.8,16.0,"deer, Multiplayer, Open World",Days or more,Windows
46774,UPSQUID,Action,01010111,An endless squid-em-up played with two buttons!,https://01010111.itch.io/upsquid,In development,4.4,94.0,"Controller
,
Difficult
,
Endless
,
gamepad
,
jumping
,
Ludum Dare 34
,
Pixel Art
,
Relaxing
,
Score Attack
,
Singleplayer",A few minutes,"Windows
,
macOS"
47011,Streamline,Puzzle,Francois van Niekerk,Grow your line to reach the goal.,https://francoisvn.itch.io/streamline,Prototype,4.6,265.0,"Abstract, Difficult, Endless, Ludum Dare, Ludum Dare 34, Minimalist, Procedural Generation",A few minutes,HTML5
47515,Slash Quest,Action,Big Green Pillow,Your sword grows after each kill,https://biggreenpillow.itch.io/slashquest,Prototype,4.5,104.0,"Game Jam, Ludum Dare 34, slash, sword, Top-Down, Unity",,"Windows, macOS"
50324,Requiescence (BL Visual Novel),Visual Novel,Argent Games,Fantasy/Romance BL Visual Novel,https://argent-games.itch.io/requiescence,Released,4.5,189.0,"2D, Anime, demo, Gothic, Romance, Story Rich, Yaoi",A few hours,"Windows, macOS, Linux, Android"
51538,Dungeon Mercenary,Role Playing,smelc3,Modern ASCII roguelike - Can your mercenary beat the dungeon ?,https://smelc3.itch.io/dungeon-mercenary,Released,4.2,40.0,"ascii-art, Difficult, Dungeon Crawler, Fantasy, Perma Death, Procedural Generation, Roguelike, Singleplayer, Strategy RPG, Text based",About a half-hour,"HTML5, Windows, Linux"
51634,DYO,Puzzle,Josia Roncancio,Two Minotaurs trapped in a maze.,https://josia-roncancio.itch.io/dyo,Released,4.8,110.0,"2D, Co-op, greek, labyrinth, Local Co-Op, maze, minotaur, Multiplayer, Puzzle-Platformer",A few hours,Windows
52859,Interactivity: The Interactive Experience,,Aetheric,Please enjoy this interactive exhibition. But not The Button.,https://aethericgames.itch.io/interactivity-the-interactive-experience,Released,4.0,103.0,"First-Person, meta, Multiple Endings, Narrative, Parody, secrets, Short, Unreal Engine, Voice Acting, Walking simulator",About an hour,Windows
53058,Birthplace of Ossian,Adventure,Connor Sherlock,walking simulator,https://connor-sherlock.itch.io/ossian,Released,4.1,57.0,"Abstract, Altgame, artgame, Atmospheric, Experimental, Exploration, First-Person, Minimalist, Open World, Walking simulator",,"Windows, macOS, Linux"
53265,Battle Gem Ponies,Role Playing,YotesMark,"A super-powered, shapeshifting pony RPG.",https://yotesmark.itch.io/battle-gem-ponies,In development,4.8,25.0,"2D, battle, collect, Cute, Pixel Art, pony, Strategy RPG, Top Down Adventure, Turn-Based Combat",A few minutes,"Windows, macOS, Linux"
54490,STAR GUARD,Action,loren schmidt,GUIDE THE ASTRONAUT THROUGH THE CASTLE AND DEFEAT THE WIZARD,https://lorenschmidt.itch.io/star-guard,Released,4.7,51.0,"2D, Speedrun",,"Windows, macOS, Linux"
54706,Moon Hunters,Role Playing,Kitfox Games,1-4 player personality test RPG,https://kitfoxgames.itch.io/moon-hunters,In development,4.5,155.0,"Action-Adventure, Action RPG, Atmospheric, Co-op, myth, mythology, Pixel Art",About an hour,"Windows, macOS"
55722,SHOOTOUT INC.,Shooter,Albatr,You liked SUPERHOTline Miami ? Here's the standalone game based on it.,https://albatr.itch.io/shootout-inc,In development,4.6,101.0,"80s, time-bending, Top-Down, Top down shooter",A few minutes,"Windows, macOS, Linux"
57637,Capacity,Role Playing,Renee Blair,Is your friend worth saving from the evil castle?,https://heptad.itch.io/capacity,Released,4.1,122.0,"Dark Fantasy, Fantasy, Female Protagonist, JRPG, RPG Maker",,"HTML5, Windows, macOS, Android"
58526,Trajes Fatais Minimal - Beta 1,Action,Onanim Studio,2D Pixel Art Indie Fighting Game,https://onanimstudio.itch.io/trajes-fatais-minimal-beta1,In development,4.6,62.0,"2D, Arcade, Casual, combos, Controller, gamepad, Local multiplayer, Pixel Art, Sprites",A few hours,Windows
59338,Saving Princess,Adventure,BRAINOS,"""IF THEY GET PRINCESS, THE WAR IS LOST.""",https://brainos.itch.io/savingprincess,Released,4.3,32.0,"8-Bit, Boss battle, Difficult, Exploration, Female Protagonist, Metroidvania, princess, Retro, Robots, Space",A few hours,"Windows, Android"
60473,FPV Freerider Recharged,Simulation,FPV Freerider,RC Quadcopter Racing Simulator,https://fpv-freerider.itch.io/fpv-freerider-recharged,Released,4.7,168.0,"drone, Flight, fpv, miniquad, multicopter, multirotor, quadcopter, quadrocopter, rc, simulator",,"Windows, macOS, Linux"
60918,Succulents,Simulation,gleeson,An abandoned garden growing strange plants.,https://gleeson.itch.io/succulents,In development,4.3,124.0,"2D, Casual, Cute, Gardening, Hand-drawn, no-combat, Pixel Art, plants, Relaxing",A few minutes,Windows
61275,Apron Academy,Visual Novel,Michaela Laws,Where maids are not just women who cook and clean...,https://vamichaelalaws.itch.io/apron-academy,In development,4.4,22.0,"Anime, Comedy, Dating Sim, dating-simulation, ecchi, maid, maids, olevn, Romance",About an hour,"Windows, macOS, Linux"
61852,Lucid9: Inciting Incident,Visual Novel,Fallen Snow Studios,Lucid9 is a mystery/thriller visual novel where your choices affect the outcome of the story.,https://fallen-snow-studios.itch.io/lucid9vn,Released,4.6,95.0,"bishoujo, Mystery, Romance, Thriller, vn",,"Windows, macOS, Linux"
