,game_id,title,genre,author,text,link
20,1785163,Where Winter Crows Go,Visual Novel,prikarin,Would you risk living together with a stranger in an isolated cabin to avoid the freezing cold?,https://prikarin.itch.io/where-winter-crows-go
21,564238,NIGHT OF THE CONSUMERS,N/A,germfood,RETAIL IS HELL,https://germfood.itch.io/nightoftheconsumers
22,2061766,XTRIS (PICO-8),N/A,Fletch,Arcade-style dexterity game about catching a green X!,https://fletchmakesstuff.itch.io/xtris
23,1442352,REAVER Demo,Shooter,crunkz,REAVER is an ultra-fast-paced FPS that emphasizes on mobility and weapon mechanics to shred through arenas with style.,https://crunkz.itch.io/reaver
24,2472758,Promises to Keep,Visual Novel,Promises to Keep VN,"A Furry, Wintertime Slice of Life Story",https://promises-to-keep-vn.itch.io/promises-to-keep
25,1825289,Project: Eden's Garden,Visual Novel,Project: Eden's Garden,16 talented participants enter the game. Only 2 will walk out alive.,https://project-edens-garden.itch.io/projecteg
26,2950451,Bloody Painter Dating Sim,Visual Novel,DeluCat,An official romantic horror visual novel game created to celebrate the 10th anniversary of Bloody Painter.,https://delucat.itch.io/bloody-painter-dating-sim
27,2115103,Binary Star Hero,Visual Novel,CONCRETEPARASITE,A shining hero will always cast a shadow. Find out who Binary Star is behind the mask.,https://concreteparasite.itch.io/binarystarhero
28,3208750,I'm Struggling (Game),Visual Novel,AaronMYoung,This is not a game it's a reflection of the human spirit's resilience.,https://aaronmyoung.itch.io/struggling
29,3268700,Fill Not Fall - 提子无悔,Simulation,MarkCup,Go with different rules - 点击这里和卞相壹下棋,https://markcup.itch.io/fill-not-fall
30,2551689,AI2U - With You Til The End - Yandere AI Girlfriend Simulator,Adventure,AlterStaff,A first-of-its-kind escape room game with AI-powered NPCS who are desperate to keep you by their side.,https://alterstaff.itch.io/ai2u
31,465774,Vincent: The Secret of Myers,Visual Novel,dino999z,A horror adventure visual novel with point & click components,https://dino999z.itch.io/vincent-the-secret-of-myers
32,2313653,Plants vs Zombies Neighborhood Defense,Strategy,CrisDevelop,A PVZ tower defense Fangame,https://crisdevelop.itch.io/pvznd
33,2390774,what body?,N/A,bun_tired,Clean your room!,https://bun-tired.itch.io/what-body
34,1785709,Night Stop,N/A,Jonny's Games,Late night stop at a gas station turns into a nightmare,https://jonnys-games.itch.io/night-stop
35,500035,Tanuki Sunset Classic,Racing,Rewind Games,Raccoons riding longboards on this retro themed relaxing arcade game,https://rewindgames.itch.io/tanuki-sunset
36,1050580,Narrow One,Shooter,Pelican Party,🏹 Capture The Flag Medieval Style 🏹,https://pelicanparty.itch.io/narrow-one
37,1858351,Please don't hate Christmas! [Remake] (Full Version),Visual Novel,rice love coffee,Fall in love with a yandere Santa Claus!,https://rice-love-coffee.itch.io/please-dont-hate-christmas
38,29736,WolfQuest,Simulation,eduweb,Live the life of a wild wolf!,https://eduweb.itch.io/wolfquest
39,1212963,Stillwater,Visual Novel,Studio Clump,"Private Investigator Hugo Laurent, gets reeled into a murky mystery entangled in lies, secrets, and a family curse.",https://studioclump.itch.io/stillwater
40,1497150,Exhibit of Sorrows,Simulation,adayofjoy,Have fun with seemingly friendly dolls and a not so friendly clown.,https://adayofjoy.itch.io/exhibit-of-sorrows
41,2270561,Digital Monster: Net Driver,N/A,kuhamaven,Experience V-Pet's final evolution!,https://kuhamaven.itch.io/dm-net-driver
42,974566,"Flesh, Blood, & Concrete",N/A,io,RPG Maker Horror/Apartment Building Exploration Simulator,https://waxwing0.itch.io/fbc
43,2799756,To eat a god,Visual Novel,Soffis_mbm,A visual novel game,https://soffis-mbm.itch.io/to-eat-a-god
44,2437465,Akiya,Visual Novel,chary 🌷,Cute VN about exploring a traditional Japanese house!,https://charycats.itch.io/akiya
45,1165696,Scratchin' Melodii (Beta Demo),Rhythm,LJ LephemStar,A radical rhythm game about self expression.,https://lj-lephemstar.itch.io/scratchin-melodii
46,803435,Wayfarer,Interactive Fiction,Idrelle Games,"Marked by complete magical immunity, Wayfarers wander the world, fighting magic. Where will your fate lead you?",https://idrellegames.itch.io/wayfarer
47,2349135,Goodboy Galaxy (for GBA),Platformer,Goodboy Galaxy,"Help Maxwell explore unfamiliar worlds, make strange new friends and contend with mysterious forces.",https://goodboygalaxy.itch.io/goodboy-galaxy-gba
48,2349135,Goodboy Galaxy (for GBA),Platformer,Goodboy Galaxy,"Help Maxwell explore unfamiliar worlds, make strange new friends and contend with mysterious forces.",https://goodboygalaxy.itch.io/goodboy-galaxy-gba
49,1877056,FAVOR (EPISODE 2 NOW OUT!),Visual Novel,CONCRETEPARASITE,Survive Z's obsessive intrigue in 'Favor'; a yandere horror VN,https://concreteparasite.itch.io/favor
50,3079599,Meet Santa,Adventure,Capybaraforce,Stay up late to meet santa!,https://capybaraforce.itch.io/meet-santa
51,3262422,And You'll Miss It,Interactive Fiction,qwook,An interactive zine about life.,https://qwook.itch.io/and-youll-miss-it
52,1958369,KLEIN v.0.1,Visual Novel,HIMEIRO,How much is too much for an A.I boyfriend? You decide!,https://himeiro.itch.io/kleinv01-demo
53,880570,b-e-e-t-l-e,N/A,loafy co.,A relaxing typing game,https://loafyco.itch.io/b-e-e-t-l-e
54,395249,make sure it's closed,Simulation,corpsepile,A minute-long horror game about a childhood fear of mine.,https://corpsepile.itch.io/make-sure-its-closed
55,511571,No Players Online,Shooter,papercookies,you find an abandoned fps game on an old computer. you decide to play it.,https://papercookies.itch.io/no-players-online
56,1037088,Nainai’s Recipe,Simulation,Mai Hou,A game that captures the cooking feeling in stylized visuals. A family story about how we lived together during 2020.,https://houkanshan.itch.io/nainais-recipe
57,1037088,Nainai’s Recipe,Simulation,Mai Hou,A game that captures the cooking feeling in stylized visuals. A family story about how we lived together during 2020.,https://houkanshan.itch.io/nainais-recipe
58,1658002,COLDLINE,Action,papercookies,nuclear armageddon is just a phone call away,https://papercookies.itch.io/coldline
59,2194898,Twin Peaks: Into the Night [DEMO],Puzzle,BlueRoseTeam,N/A,https://blueroseteam.itch.io/twin-peaks-into-the-night
60,2412060,Project Moose,N/A,MooseIsCute,Welcome To Project Moose! This Is A Modded Gorilla Tag Copy,https://mooseiscute.itch.io/projectmoose
61,2566651,A Tavern at Night: Firelight,Visual Novel,qkayoo studio,Read your fortune around a campfire at night.,https://qkayoo.itch.io/a-tavern-at-night-firelight
62,1421039,Perfumare:Avulsion [IF],Interactive Fiction,PDRRook,Perfumare (Interactive Fiction),https://pdrr.itch.io/perfumare-avulsion
63,329131,Idle Breakout,N/A,Kodiqi,Unlock and upgrade an assortment of brick-breaking balls!,https://kodiqi.itch.io/idle-breakout
64,406400,Little Misfortune Demo,Adventure,Killmonday Games,Welcome to my game...,https://killmondaygames.itch.io/little-misfortune
65,1344124,When Twilight Strikes,Interactive Fiction,evertides,"what happens when your boss goes missing in a supernatural world? you go and find him, of course.",https://evertides.itch.io/when-twilight-strikes
66,2313708,Lost in Limbo [Demo],Visual Novel,Ravenstar Games,"Will love be the key to your freedom, or the first chapter of your downfall?",https://ravenstar-games.itch.io/lost-in-limbo
67,2094063,Funeralopolis | Last Days,Adventure,BananaDevJeff,Last days before the skies of Huta-Grobno city turned red,https://banana-jeff.itch.io/dniostatnie
68,2037025,Warnament Supporter's Pack,Strategy,Luden.io,A deep grand strategy video game that takes only minutes to start conquering the world. Comes with a scenario editor.,https://ludenio.itch.io/warnament
69,2330583,It Paints Me,Visual Novel,ENDYSIS,An artist struggles to paint his final work.,https://endysis.itch.io/it-paints-me
70,2293607,The Windows Are Gone,Adventure,Scary Cube,"Haunted by grief and guilt, you start seeing a house in your dreams. You feel it calling for you, so you answer it.",https://scary-cube.itch.io/the-windows-are-gone
71,3149451,BENEATH THE BLOBS,Puzzle,lumdum,N/A,https://lumdum.itch.io/blob
72,31162,Hylics,Role Playing,Mason Lindroth,Approach our homunculus.,https://mason-lindroth.itch.io/hylics
73,558218,Desktop Goose,N/A,samperson,I have created a goose that lives on your desktop. He is an asshole.,https://samperson.itch.io/desktop-goose
74,1124624,Alaris,Visual Novel,Crescence Studio,Not all mysteries can be explained by the logic of man,https://crescence-studio.itch.io/alaris
75,3271330,Feed It,Adventure,RalasGate,N/A,https://ralasgate.itch.io/feed-it
76,775853,Dreader,Simulation,Donitz,Retro mouse maze horror game,https://donitz.itch.io/dreader
77,1339579,Fears to Fathom - Norwood Hitchhike,Adventure,Rayll,Second installment of the Fears to Fathom anthology,https://rayll.itch.io/fears-to-fathom-ep2
78,1855901,Awaria,Action,vanripper,Haunted maintenance tunnels.,https://vanripper.itch.io/awaria
79,3004021,Ultimate One Page RPG Toolkit,Role Playing,SilverNightingale,"Compact booklet of RPG tools such as Solo Oracles, Hexcrawl Rules, Dungeon Generator, Monster Creator, and more!",https://silvernightingale.itch.io/ultimate-one-page-rpg-toolkit
80,583454,OneShot,Role Playing,Future Cat Games,A surreal puzzle adventure game with unique mechanics / capabilities.,https://futurecatgames.itch.io/oneshot
81,1830543,Tender Lovin' Cannibal [DEMO],Visual Novel,Rae1347,"""Did you know... I love you?""",https://rae1347.itch.io/tender-lovin-cannibal
82,2705054,Rekindle - [DEMO],Visual Novel,Minthe Draws,"Given the chance, would you try again?",https://minthedraws.itch.io/rekindle
83,1852282,Digital Logic Sim,Educational,Sebastian Lague,N/A,https://sebastian.itch.io/digital-logic-sim
84,719124,Lonely Wolf Treat: The Complete Series,Role Playing,NomnomNami,the full story of a lonely wolf and her friends (early access),https://nomnomnami.itch.io/treat-complete
85,2351815,BFDI: Branches,Platformer,Team Branches,"A platformer featuring multiple characters, a story mode, a level editor, and an online level browser!",https://teambranches.itch.io/bfdi-branches
86,666558,Student Union,Visual Novel,Visual Novel Village,A dark romance in which subtle choices make deep impacts.,https://visual-novel-village.itch.io/student-union
87,1718225,1998 - Found Footage Backroom Horror Game FREE (Microphone Sensitive Demo Game),Adventure,Steelkrill Studio,"Now you will see what really lies in the backrooms, with this found footage style horror game.",https://steelkrill.itch.io/1998
88,631448,LSD: Revamped,N/A,Figglewatts,A fan made remake of the cult-classic game LSD: Dream Emulator.,https://figglewatts.itch.io/lsd-revamped
89,1843196,Insomnia's Window,Visual Novel,HimeBee,Your boyfriend comes over and helps you get some sleep!,https://himebee.itch.io/insomnias-window
90,523323,Unciv,Strategy,yairm210,Open source 4X civilization-building game,https://yairm210.itch.io/unciv
91,528213,Gun Knight,Shooter,Stepford,A knight who modifies his gun by changing its attachments.,https://stepford.itch.io/gun-knight
92,2469044,God-Cursed: Demo,Interactive Fiction,Lunan,"An interactive fiction fantasy game made with Twine. Create your character, break a curse, fall in love & make it home.",https://wings-of-ink.itch.io/god-cursed
93,712594,Serial Lover,Rhythm,Sugar Slip,A dating sim rhythm game where you seduce serial killers!,https://sugarslip.itch.io/serial-lover
94,1341940,Doghouse 2,N/A,tumblewed,building an even perfecter doghouse.,https://tumblewed.itch.io/doghouse-2
95,16106,Lost Constellation,Adventure,Finji,A ghost story from the world of Night In The Woods.,https://finji.itch.io/lost-constellation
96,1515077,Changed: Berserk+ (Plus) - Demo,Action,TeffyDerg,N/A,https://teffyderg.itch.io/changed-berserk-plus
97,663902,Repurpose,Visual Novel,Eros,A LGBT+ dating sim where you try to find meaning and love after death.,https://residentrabbit.itch.io/repurpose
98,1727837,TRACE,Puzzle,colorbomb,Escape Room on Another Planet!,https://colorbomb.itch.io/trace
99,373608,Purrfect Apawcalypse,Interactive Fiction,90% Studios,"A dog dating, dog your own dog-venture game, cartoon horror game!",https://90percentstudios.itch.io/purrfect-apawcalypse
100,766072,George and the Printer,Interactive Fiction,Robin Six,Help George to fix his deadly printer!,https://sixrobin.itch.io/georgeandtheprinter
101,2738903,Frogfall,Platformer,Kultisti,falls and flies!,https://kultisti.itch.io/frogfall
102,274604,Attack on Toys,Action,N7T-GAMES,Play as Plastic Army Man Toy Soldiers!,https://n7t-games.itch.io/attack-on-toys
103,1527103,HOUSE HUNTED,Visual Novel,Scopophobia Studios,A game about buying a house.,https://mortisfox.itch.io/house-hunted
104,593692,Twin Coves,Visual Novel,Wisteria Games,a paranormal romance meets murder mystery visual novel set in a small seaside town,https://wisteriagames.itch.io/twincoves
105,964542,NextDoor,Adventure,Broelbrak,Short cinematic pixel horror game based on Junji Ito's manga,https://broelbrak.itch.io/nextdoor
106,1989600,Psycho Love v1.3 [English] - [Spanish] - [Portugués]- [ Italian]- [ Russian] - [ More 12+],Visual Novel,Licenciado Samuel,A date with a Mysterious Girl...,https://licenciado-samuel.itch.io/psycho-love
107,406257,Worlds - History Simulator,Simulation,DrTardigrade,"A world generator, and human history simulator",https://drtardigrade.itch.io/worldhistorysim
108,1544412,Alwa's Awakening The 8-Bit Edition,Platformer,Elden Pixels,The highly awaited NES remake is finally here!,https://eldenpixels.itch.io/alwas-awakening-the-8-bit-edition
109,2634753,Text Your Life,Simulation,Pizza Writers,A mobile chat simulator for Android and PC. Will you be able to find out who did you kiss that night? :O,https://pizzawriters.itch.io/text-your-life
110,2903789,Picture Perfect,Puzzle,Incredulous Interactive,A cozy puzzle game about forced perspective,https://incredulous.itch.io/picture-perfect
111,25491,FPV Freerider,Simulation,FPV Freerider,RC Quadcopter Racing Simulator,https://fpv-freerider.itch.io/fpv-freerider
112,664210,Scout: An Apocalypse Story,Interactive Fiction,Anya,A text choice romance in an apocalyptic setting.,https://anya-writes.itch.io/scout-an-apocalypse-story
113,3171782,Gar-Type,Shooter,Lumpy,Defend Earth from a giant living Garfield Planet,https://lumpytouch.itch.io/gar-type
114,698587,How to Make a Cup of Tea,N/A,WORLDENDDISK,"Make me a cup of tea, please!",https://worldenddisk.itch.io/how-to-make-a-cup-of-tea
115,1400584,Saint Spell's Love Guide to the Magical Student's Spellbook,Visual Novel,jiefinch,Dating sim set within a magic school. Features 29 characters.,https://jiefinch.itch.io/saintspell
116,1169767,Force Reboot,Shooter,ln404,NONSTOP FPS ROGUELITE,https://ln404.itch.io/force-reboot
117,302222,When The Night Comes,Visual Novel,Lunaris Games,"When the night comes, death follows...",https://lunarisgames.itch.io/wtnc
118,3250730,Volatile Memory: Blood Trail,Role Playing,VaguelyGalaxy,Investigate a bizarre trail of blood travelling deep into scavenger-infested woods.,https://vaguelygalaxy.itch.io/volatile-memory-blood-trail
119,3058577,I Didn't Cheat,Survival,flycat.games,...at least i did,https://flycatgames.itch.io/i-didnt-cheat
120,329624,there's this girl,Visual Novel,angela he,fall in love amongst stars ･ﾟ*｡💫,https://zephyo.itch.io/theres-this-girl
121,1674629,The Cleaner,Visual Novel,Spongey Kitty Games,A chill cleaning game set at the end of the World.,https://spongey-kitty.itch.io/the-cleaner
122,1975309,Mad Room No.3,Visual Novel,bbboxxx,Short otome adv game inspired by hentai culture,https://bbboxxx.itch.io/mad-room-no3
123,556259,Alisa | Demo,Adventure,Casper Croes,classic retro late-90s horror themed action adventure,https://caspercroes.itch.io/alisa-demo
124,31318,CELESTE Classic,Platformer,Maddy Makes Games,Climb a mountain,https://maddymakesgamesinc.itch.io/celesteclassic
125,2570671,Uncanny Cat Golf,Action,SH2K (SlappyHappy2000),A simple retro-styled golf game that gets a teeny bit uncanny...,https://slappyhappy2000.itch.io/uncanny-cat-golf
126,148146,"The Second Thought or Please, Don't Touch Anything (Ludum Dare 31)",Puzzle,Four Quarters team,N/A,https://fourquarters.itch.io/pdta-ld
127,3136828,Desierto🏜️,Adventure,Josyan,I decided to search in the sand.,https://josyan.itch.io/desierto
128,92002,First Kiss at a Spooky Soiree,Visual Novel,NomnomNami,a light halloween-themed romance story,https://nomnomnami.itch.io/first-kiss-at-a-spooky-soiree
129,598634,Manic Miners: A LEGO Rock Raiders remake,Strategy,Baraklava,Manic Miners: the Rock Raiders remake you've been waiting for.,https://baraklava.itch.io/manic-miners
130,211171,Vapor Trails,Platformer,sevencrane,Heartfelt game about revenge (on Steam!),https://sevencrane.itch.io/vapor-trails
131,86528,ULTRA ADHD,Shooter,DancingEngie,A Video Game About THINGS.,https://dancingengie.itch.io/adhd
132,1449456,Ballads at Midnight,Visual Novel,Synstoria,"Exiled in a castle at the mercy of a bored vampire, will you escape him or will you fall for him?",https://synstoria.itch.io/ballads-at-midnight
133,1285091,Danganronpa: Lapse,Visual Novel,Cynthia,10 students find themselves trapped in a luxurious mansion...,https://mythridate.itch.io/danganronpa-lapse
134,582861,Discover My Body,N/A,Yames,Body Horror/Comedy,https://pantagruel.itch.io/discover-my-body
135,309672,Dynast.IO,Action,Whalebox,"100 player 2D real-time massive multiplayer survival game in your browser! Build, Craft, Fight, Survive!",https://wbs.itch.io/dynastio
136,784989,Slice & Dice,Strategy,tann,Roguelike dice tactics game,https://tann.itch.io/slice-dice
137,1476383,Shogun Showdown - Alpha,Card Game,Roboatino,A turn-based roguelike (alpha version),https://roboatino.itch.io/shogunshowdown
138,2427989,i'm not a creep (i promise),Visual Novel,bun_tired,Make a tea.,https://bun-tired.itch.io/im-not-a-creep-i-promise
139,2144787,ACONITE beta,Visual Novel,MELCO,N/A,https://melcoteam.itch.io/aconite-beta
140,1587667,The Symbiant - Gay Yaoi (PG-13 version),Visual Novel,HeartCoreDev,"Space gays, interstellar friendship and good food.",https://heartcoredev.itch.io/smb-sfw
141,2405619,WildFire,Strategy,Salvador,Survive as many rounds as you can to the threatening local wildlife,https://salvadorpalma.itch.io/wildfire
142,1102175,Devil of the Mirror,Adventure,Patchy Illusion Team,A dark fairytale about a lonely girl and a cursed mirror,https://patchy-illusion-team.itch.io/devil-of-the-mirror
143,977254,Granny Vr,Puzzle,Gogozooom,N/A,https://gogozooom.itch.io/granny-vr
144,742341,"Love the Guard, Be the King",Visual Novel,Ligia Nunes,The Kingdom and its future monarch are in your hands. The choice is yours. Love the Guard or be the king?,https://ligianunes.itch.io/love-the-guard-be-the-king
145,824142,Trigaea,Interactive Fiction,RynGM,"Alter genes, survive. Sci-fi RPG. 270k+",https://ryngm.itch.io/trigaea
146,1266375,"Spica, Chinatsu and Haruka's Enchanting, Marvelous, and quite frankly Elaborate quest to save their (cute) girlfriend!!!",Visual Novel,milkky,useless lesbian gets kidnapped??,https://milkkylemon.itch.io/yukis-4p-2
147,748271,Night of the Lesbian Vampires,Visual Novel,Jaime Scribbles Games,What’s a girl to do when she gets two visitors at midnight who both want her- and some blood?,https://scribbles.itch.io/night-of-the-lesbian-vampires
148,1558803,The Other Side,N/A,Mike Klubnika,Maintain a jury-rigged drill and use it to escape a corrupt shelter.,https://mikeklubnika.itch.io/the-other-side
149,727585,Untitled Goose Game,Action,House House,It's a lovely morning in the village and you are a horrible goose.,https://househouse.itch.io/untitled-goose-game
150,2363869,Resident Lover,Visual Novel,teamavia,"Resident Lover - a sapphic, modern rendition of Resident Evil Village",https://teamavia.itch.io/resident-lover
151,2115183,After Hours,Visual Novel,Snowyrey,A visual novel about Sun and Moon from FNAF: Security Breach!,https://snowyrey.itch.io/after-hours
152,2168917,Ragdoll Fun 4,Simulation,Ragdolldude,Ragdoll Sandbox Game,https://ragdolldudelol.itch.io/ragdollfun4
153,2667076,Jollibae (2024),Survival,L3x,RUN! RUN! RUN!,https://lex-lex.itch.io/jollibae-2024
154,172151,A Blastastic Love Story: KiriBaku,Visual Novel,Choco,Created by fans for fans.,https://chocomarimo.itch.io/kiribaku
155,278051,I Wanna be the Guy,Platformer,Kayin,That game that ruined Youtube LPs,https://kayin.itch.io/iwbtg
156,278051,I Wanna be the Guy,Platformer,Kayin,That game that ruined Youtube LPs,https://kayin.itch.io/iwbtg
157,1865292,Elevated Dread,Adventure,andrground,This is the last house you need to put up flyers in!,https://andrground.itch.io/elevated-dread
158,2142166,Rhythm Hell,Rhythm,Rhythm Hell,N/A,https://rhythmhell.itch.io/rhythm-hell
159,399109,Baldi's Basics Birthday Bash,N/A,Basically Games,"Baldi's Basics is 1 year old! Celebrate with the classic game, but with a twist!",https://basically-games.itch.io/baldis-basics-birthday-bash
160,40415,orchids to dusk,N/A,Pol Clarissou,contemplative multiplayer game about death and acceptance,https://polclarissou.itch.io/orchids-to-dusk
161,3061660,Look Outside,Role Playing,FrankieSmileShow,Survival horror RPG where you are stuck in an apartment building and all of your neighbors have turned into monsters.,https://frankiesmileshow.itch.io/look-outside
162,1820653,Music Box for Playdate,N/A,Tizian Zeltner,A tiny musical instrument for the Playdate.,https://tizian.itch.io/playdate-music-box
163,2827081,Honey Trap,Visual Novel,HelloYinny,Face to face with your annoying hitman ex-boyfriend.,https://helloyinny.itch.io/honey-trap
164,2833012,Amanda's Movie Night,Action,Jeremy Fischer,A night unlike any other,https://jflyer45.itch.io/amandas-movie-night
165,2833012,Amanda's Movie Night,Action,Jeremy Fischer,A night unlike any other,https://jflyer45.itch.io/amandas-movie-night
166,2675884,Love Hex,Adventure,diamii,You just wanted a boyfriend,https://diamii.itch.io/love-hex
167,1689029,Zoomies! Cat Racing,Racing,Scarlet Games,A Cat Racing Game,https://scarlet-games.itch.io/zoomies-cat-racing
168,2224136,Titan Arum,Visual Novel,Cath,It's time to write your masterpiece.,https://shewassaying.itch.io/titanarum
169,1684116,Butterfly Soup 2,Visual Novel,Brianna Lei,Gay girls playing baseball and falling in love 2,https://brianna-lei.itch.io/butterfly-soup-2
170,3109288,FS25 Western Iowa Machine Shed,N/A,Squatch,N/A,https://squatchmonky.itch.io/western-iowa-machine-shed
171,934803,OMORI Multiplayer RP,Role Playing,Totally Fungal,N/A,https://totally-fungal.itch.io/omori
172,1172488,The Bastard of Camelot,Interactive Fiction,Llamagirl,A high fantasy drama based on Arthurian legends,https://llamagirl.itch.io/the-bastard-of-camelot
173,567671,Andromeda Six | Star Crossed Lovers,Visual Novel,Wanderlust Games,An Andromeda Six Side-Story,https://wanderlust-games.itch.io/andromeda-six-star-crossed-lovers
174,334765,NGL BIATHLON,Sports,NordicGamesLab,New Biathlon PC Game,https://nordicgameslab.itch.io/ngl-biathlon
175,3084510,Axe Killer,Adventure,Fear Scape,Just A Abandoned Factory Right?...,https://fear-scape.itch.io/axe-killer
176,127806,We Know the Devil,Visual Novel,pillowfight,A Group Relationship Horror Visual novel.,https://pillowfight.itch.io/we-know-the-devil
177,1547052,Poop Killer,Adventure,616 GAMES,Don't forget to flush!,https://616games.itch.io/poop-killer
178,1353167,Dog Wash,Simulation,Tony LindoRock,Wash a Doggo!,https://tony-lindorock.itch.io/dog-wash
179,1303261,Sweeter Yesterday,Role Playing,magicabie,"A cute, horror RPG about Reminiscing in your Childhood",https://magicabie.itch.io/sweeter-yesterday
180,2567612,Coop Catacombs: Async Multiplayer Roguelike,Adventure,AikonCWD,Traditional Roguelike Async Multiplayer for 7drl 2024,https://aikoncwd.itch.io/coop-catacombs
181,2713059,"I'm Now the School Delinquent's Lover, but I Want Out!!",Visual Novel,Konpeito,"'Fear' and 'Love' are the same, aren't they?",https://konpeitocat.itch.io/im-now-the-school-delinquents-lover-but-i-want-out
182,2114841,Bullwhip,Visual Novel,Major Minion,Wrestle your way to love and glory!,https://major-minion.itch.io/bullwhip
183,1036989,A YEAR OF SPRINGS,Visual Novel,npckc,"three women, three stories, three springs.",https://npckc.itch.io/a-year-of-springs
184,1745167,Madness Melee,Action,Orsoniks,Physics-based 2D madness combat fangame,https://orsonik.itch.io/madness-melee
185,415287,Gacha,Simulation,spectacles,Spin the gachapon and see where life takes you!,https://zmcn.itch.io/gacha
186,1073800,Baldi's Fun New School Remastered 1.4.7,Educational,JohnsterSpaceGames,A Remastered Version Of Baldi's Fun New School!,https://johnsterspacegames.itch.io/baldis-fun-new-school-remastered
187,510625,FLESHBIRDS,N/A,germfood,You are birdfood!,https://germfood.itch.io/fleshbirds
188,147405,Falling Lightblocks,Puzzle,MrStahlfelge,Modern-looking Classic Falling Blocks with multiplayer mode and gamepad support,https://mrstahlfelge.itch.io/lightblocks
189,405024,Shadow The Hedgehog,Visual Novel,Shibaya,A Dating Game,https://shibaya.itch.io/shadow-the-hedgehog
190,653400,UFO Swamp Odyssey,Platformer,Paranoid Cactus,A short atmospheric platformer.,https://paranoidcactus.itch.io/ufo
191,339268,Sacrifices Must Be Made,Card Game,Daniel Mullins,You find yourself in a dimly lit log cabin in the middle of the woods. You are starving to death.,https://dmullinsgames.itch.io/sacrifices-must-be-made
192,339268,Sacrifices Must Be Made,Card Game,Daniel Mullins,You find yourself in a dimly lit log cabin in the middle of the woods. You are starving to death.,https://dmullinsgames.itch.io/sacrifices-must-be-made
193,2071667,I Wani Hug That Gator!,Visual Novel,Cavemanon,The Pre-historic Romance a million and two years in MS Paint to tell.,https://cavemanon.itch.io/i-wani-hug-that-gator
194,299619,ROT - Purgatory Hill,Adventure,RG Crew,"ROT is short psychological horror game inspired by ""Silent Hill"" series.",https://rg-crew.itch.io/rot
195,1325173,Swordbird Song: The Iron Owl Tower,Adventure,freinicke,Follow the Bird Hero entering the lair of the Iron Owls in this short Action RPG game for Gameboy.,https://freinicke.itch.io/swordbird
196,876614,Lorn's Lure,Action,Rubeki,An android is led through a vast structure by a glitch in his visual system,https://rubeki.itch.io/lorns-lure
197,162219,1st Degree: Murder-Mystery BL/Yaoi VN [UPDATED DEMO],Visual Novel,Parival,N/A,https://parival.itch.io/1st-degree
